"Date","Open","Close","High","Low","Number of shares traded","Volume ","Nombre de contrats","Capitalization","Adjusted price"
"16/04/2024","82.00","81.50","83.00","81.05","138578.00","11340434.32","205","4099004032.00","81.50"
"15/04/2024","71.00","78.00","78.09","70.00","75414.00","5638126.71","213","3922973184.00","78.00"
"09/04/2024","66.90","71.00","72.00","66.00","43719.00","3024551.67","123","3570911488.00","71.00"
"08/04/2024","66.70","66.52","66.90","66.35","63690.00","4234182.80","48","3345592002.56","66.52"
"05/04/2024","65.95","66.60","66.79","65.95","7194.00","477809.84","41","3349615564.80","66.60"
"04/04/2024","64.00","65.00","65.00","64.00","4772.00","308562.20","32","3269144320.00","65.00"
"03/04/2024","63.40","63.70","64.80","63.40","2966.00","188457.59","27","3203761433.60","63.70"
"02/04/2024","64.93","63.40","64.93","63.20","2002.00","127384.76","15","3188673075.20","63.40"
"01/04/2024","64.63","63.00","64.63","63.00","36299.00","2287757.78","52","3168555264.00","63.00"
"29/03/2024","64.50","64.00","64.80","64.00","44645.00","2859407.83","38","3218849792.00","64.00"
"28/03/2024","64.50","64.91","64.91","64.00","693.00","44419.96","12","3264617812.48","64.91"
"27/03/2024","64.00","64.94","64.96","64.00","945.00","61282.72","17","3266126648.32","64.94"
"26/03/2024","64.90","64.94","64.98","62.05","29724.00","1851221.63","57","3266126648.32","64.94"
"25/03/2024","63.01","63.15","63.15","63.01","621.00","39130.81","7","3176099443.20","63.15"
"22/03/2024","63.65","63.00","63.99","62.00","96114.00","5966689.09","66","3168555264.00","63.00"
"21/03/2024","64.00","63.60","64.00","63.60","2544.00","161950.59","20","3198731980.80","63.60"
"20/03/2024","64.00","63.50","64.00","63.50","5447.00","348268.47","55","3193702528.00","63.50"
"19/03/2024","64.70","64.00","64.70","63.99","46204.00","2958138.06","99","3218849792.00","64.00"
"18/03/2024","65.99","65.89","66.00","64.56","9183.00","594577.03","37","3313906449.92","65.89"
"15/03/2024","64.54","65.99","65.99","64.54","601.00","39514.99","6","3318935902.72","65.99"
"14/03/2024","64.72","64.50","66.20","64.50","25856.00","1675362.24","37","3243997056.00","64.50"
"13/03/2024","64.50","64.70","66.70","64.50","6248.00","403845.80","38","3254055961.60","64.70"
"12/03/2024","66.60","65.00","66.60","64.52","10930.00","710555.13","61","3269144320.00","65.00"
"11/03/2024","67.25","65.00","67.25","65.00","22616.00","1487417.66","112","3269144320.00","65.00"
"08/03/2024","67.01","68.00","68.00","67.00","4478.00","300642.51","31","3420027904.00","68.00"
"07/03/2024","66.95","67.20","67.20","66.85","11389.00","763000.00","28","3379792281.60","67.20"
"06/03/2024","67.20","67.00","67.20","66.67","451.00","30172.98","15","3369733376.00","67.00"
"05/03/2024","66.70","67.00","67.20","66.67","62914.00","4214887.64","47","3369733376.00","67.00"
"04/03/2024","67.20","66.67","67.20","66.60","1464.00","97724.80","12","3353136181.76","66.67"
"01/03/2024","67.20","67.00","67.20","67.00","989.00","66338.82","13","3369733376.00","67.00"
"29/02/2024","67.00","67.00","67.30","67.00","10694.00","717617.30","31","3369733376.00","67.00"
"28/02/2024","67.25","67.00","67.25","67.00","7902.00","529506.50","25","3369733376.00","67.00"
"27/02/2024","67.30","67.25","67.30","66.56","3130.00","209635.37","51","3382307008.00","67.25"
"26/02/2024","67.30","67.30","67.40","66.90","13656.00","915172.50","33","3384821734.40","67.30"
"23/02/2024","67.35","67.30","67.35","67.00","11682.00","783049.55","43","3384821734.40","67.30"
"22/02/2024","67.50","67.40","67.50","67.00","15687.00","1051101.40","29","3389851187.20","67.40"
"21/02/2024","67.50","67.00","67.50","67.00","20934.00","1405114.61","98","3369733376.00","67.00"
"20/02/2024","67.50","67.15","67.80","67.11","5112.00","344779.92","34","3377277555.20","67.15"
"19/02/2024","67.50","67.50","68.00","67.10","2687.00","181330.50","32","3394880640.00","67.50"
"16/02/2024","68.00","67.85","68.00","67.85","77.00","5232.10","7","3412483724.80","67.85"
"15/02/2024","68.20","67.50","68.20","67.50","5861.00","396155.15","39","3394880640.00","67.50"
"14/02/2024","68.00","68.20","68.20","67.80","1053.00","71634.40","23","3430086809.60","68.20"
"13/02/2024","68.20","68.20","68.25","67.72","10543.00","717311.26","31","3430086809.60","68.20"
"12/02/2024","68.25","68.00","68.25","67.61","5728.00","389770.07","21","3420027904.00","68.00"
"09/02/2024","68.00","67.65","68.00","67.40","10640.00","721722.22","34","3402424819.20","67.65"
"08/02/2024","68.00","68.00","68.20","67.83","15324.00","1042038.61","25","3420027904.00","68.00"
"07/02/2024","68.25","68.00","68.25","68.00","10861.00","738561.75","15","3420027904.00","68.00"
"06/02/2024","68.00","68.00","68.25","67.90","11597.00","788630.95","38","3420027904.00","68.00"
"05/02/2024","68.10","68.00","68.25","68.00","7960.00","541622.75","31","3420027904.00","68.00"
"02/02/2024","68.00","68.00","68.00","68.00","2527.00","171836.00","16","3420027904.00","68.00"
"01/02/2024","68.00","68.00","68.00","68.00","35.00","2380.00","4","3420027904.00","68.00"
"31/01/2024","67.00","67.55","68.00","67.00","13232.00","891922.64","34","3397395366.40","67.55"
"30/01/2024","67.50","67.12","68.00","67.05","6496.00","437329.86","28","3375768719.36","67.12"
"29/01/2024","68.00","68.00","68.00","67.37","2035.00","137178.35","14","3420027904.00","68.00"
"26/01/2024","68.00","67.25","68.00","67.25","6201.00","417102.30","21","3382307008.00","67.25"
"25/01/2024","68.35","68.00","68.35","67.50","3478.00","236107.95","27","3420027904.00","68.00"
"24/01/2024","68.35","67.50","68.35","67.50","2125.00","143914.45","32","3394880640.00","67.50"
"23/01/2024","68.50","67.50","68.60","67.50","4737.00","320392.99","35","3394880640.00","67.50"
"22/01/2024","68.50","68.49","68.50","68.00","11182.00","760897.48","17","3444672222.72","68.49"
"19/01/2024","68.00","68.20","68.20","67.95","945.00","64391.15","16","3430086809.60","68.20"
"18/01/2024","69.00","68.00","69.00","68.00","5007.00","340765.62","28","3420027904.00","68.00"
"17/01/2024","68.00","68.90","69.15","68.00","16291.00","1123059.58","36","3465292979.20","68.90"
"16/01/2024","68.51","68.90","68.90","68.00","1711.00","116891.23","15","3465292979.20","68.90"
"15/01/2024","68.61","68.51","68.98","68.51","510.00","35147.51","9","3445678113.28","68.51"
"12/01/2024","69.00","68.49","69.00","68.49","2230.00","153407.73","16","3444672222.72","68.49"
"10/01/2024","67.50","68.45","68.50","67.50","6474.00","440613.82","31","3442660441.60","68.45"
"09/01/2024","67.87","67.30","67.87","67.00","10455.00","701111.70","30","3384821734.40","67.30"
"08/01/2024","67.00","67.10","67.20","67.00","15865.00","1064219.53","24","3374762828.80","67.10"
"05/01/2024","67.87","67.00","67.87","66.90","2270.00","152034.02","31","3369733376.00","67.00"
"04/01/2024","67.68","67.01","67.90","67.01","3258.00","220822.47","14","3370236321.28","67.01"
"03/01/2024","67.75","66.93","67.75","66.93","2350.00","157717.61","10","3366212759.04","66.93"
"02/01/2024","67.70","67.00","67.75","67.00","7733.00","518200.90","39","3369733376.00","67.00"
"29/12/2023","67.00","67.75","67.75","66.89","10389.00","701101.63","33","3407454272.00","67.75"
"28/12/2023","67.00","67.00","67.00","66.90","15419.00","1032880.85","44","3369733376.00","67.00"
"27/12/2023","67.06","67.00","67.06","66.85","10997.00","736815.37","46","3369733376.00","67.00"
"26/12/2023","67.90","67.20","67.90","67.20","215.00","14471.25","5","3379792281.60","67.20"
"25/12/2023","66.82","67.00","68.00","66.82","1626.00","109173.15","22","3369733376.00","67.00"
"22/12/2023","67.02","66.84","67.90","66.84","17822.00","1193575.09","72","3361686251.52","66.84"
"21/12/2023","67.90","67.00","68.00","67.00","12479.00","836424.70","59","3369733376.00","67.00"
"20/12/2023","67.98","67.00","67.98","67.00","10012.00","671398.70","51","3369733376.00","67.00"
"19/12/2023","67.01","67.10","67.20","67.01","1356.00","90958.45","8","3374762828.80","67.10"
"18/12/2023","67.00","67.00","67.80","67.00","3763.00","252130.70","44","3369733376.00","67.00"
"15/12/2023","68.15","67.00","68.15","67.00","10143.00","680360.86","42","3369733376.00","67.00"
"14/12/2023","67.90","68.00","68.00","67.90","344.00","23381.90","11","3420027904.00","68.00"
"13/12/2023","67.90","67.00","67.90","67.00","1124.00","75390.21","12","3369733376.00","67.00"
"12/12/2023","67.00","67.50","67.50","66.80","816.00","54711.10","16","3394880640.00","67.50"
"11/12/2023","68.13","66.73","68.13","66.73","625.00","41728.05","15","3356153853.44","66.73"
"08/12/2023","67.15","67.00","67.15","67.00","4145.00","277720.11","16","3369733376.00","67.00"
"07/12/2023","67.84","67.86","67.86","67.05","55.00","3730.55","8","3412986670.08","67.86"
"06/12/2023","67.86","67.05","67.86","67.05","47.00","3152.97","4","3372248102.40","67.05"
"05/12/2023","68.00","67.00","68.00","67.00","471.00","31576.00","19","3369733376.00","67.00"
"04/12/2023","68.00","68.00","68.00","67.10","68.00","4615.48","9","3420027904.00","68.00"
"01/12/2023","68.00","67.20","68.00","67.20","35.00","2376.80","5","3379792281.60","67.20"
"30/11/2023","67.14","67.00","69.00","67.00","5560.00","375587.79","68","3369733376.00","67.00"
"29/11/2023","68.00","67.15","69.01","67.15","4249.00","289249.98","23","3377277555.20","67.15"
"28/11/2023","67.30","67.70","67.70","67.30","287.00","19410.70","6","3404939545.60","67.70"
"27/11/2023","68.70","67.20","68.70","67.20","395.00","26641.23","17","3379792281.60","67.20"
"24/11/2023","68.70","68.55","68.70","67.15","67.00","4595.03","11","3447689894.40","68.55"
"23/11/2023","67.04","68.45","68.45","67.04","3345.00","228760.14","15","3442660441.60","68.45"
"22/11/2023","68.79","68.30","68.79","68.30","47.00","3215.00","9","3435116262.40","68.30"
"21/11/2023","68.83","68.50","68.83","68.50","2.00","137.33","2","3445175168.00","68.50"
"20/11/2023","68.93","68.49","68.93","68.49","115.00","7876.91","5","3444672222.72","68.49"
"17/11/2023","68.80","68.49","68.80","68.49","104.00","7153.96","5","3444672222.72","68.49"
"16/11/2023","66.61","67.00","67.00","66.13","2311.00","153458.60","19","3369733376.00","67.00"
"15/11/2023","68.01","66.50","68.02","66.00","3042.00","201948.79","31","3344586112.00","66.50"
"14/11/2023","68.00","68.00","68.80","68.00","120.00","8167.42","5","3420027904.00","68.00"
"13/11/2023","68.00","68.00","68.00","68.00","127.00","8636.00","8","3420027904.00","68.00"
"10/11/2023","68.99","68.99","68.99","67.50","55.00","3735.07","7","3469819486.72","68.99"
"09/11/2023","67.30","68.99","69.00","67.30","111.00","7522.70","7","3469819486.72","68.99"
"08/11/2023","68.80","67.30","68.98","67.30","978.00","65904.41","17","3384821734.40","67.30"
"07/11/2023","67.35","67.50","69.00","67.35","424.00","28665.36","23","3394880640.00","67.50"
"03/11/2023","69.44","68.00","69.44","68.00","117.00","7972.40","7","3420027904.00","68.00"
"02/11/2023","69.00","69.00","69.00","69.00","4903.00","338307.00","4","3470322432.00","69.00"
"01/11/2023","69.00","69.00","69.00","68.80","154.00","10616.55","10","3470322432.00","69.00"
"31/10/2023","68.98","68.50","69.00","68.50","120.00","8273.80","7","3445175168.00","68.50"
"30/10/2023","68.99","68.00","68.99","68.00","871.00","59289.20","8","3420027904.00","68.00"
"27/10/2023","67.30","67.00","69.00","67.00","11744.00","788925.59","57","3369733376.00","67.00"
"26/10/2023","69.70","69.45","69.80","67.50","297.00","20300.37","16","3492954969.60","69.45"
"25/10/2023","69.64","69.79","69.88","67.78","2225.00","154106.92","18","3510055109.12","69.79"
"24/10/2023","68.55","68.50","69.90","68.50","1977.00","136840.11","22","3445175168.00","68.50"
"23/10/2023","67.50","68.24","68.25","67.50","1189.00","81090.48","15","3432098590.72","68.24"
"20/10/2023","68.39","67.00","68.39","67.00","3587.00","240531.96","25","3369733376.00","67.00"
"19/10/2023","69.00","67.00","69.00","67.00","25533.00","1716238.89","106","3369733376.00","67.00"
"18/10/2023","69.40","69.35","69.40","67.50","594.00","40341.70","16","3487925516.80","69.35"
"17/10/2023","69.49","69.00","69.49","68.50","332.00","22793.52","14","3470322432.00","69.00"
"16/10/2023","68.30","69.49","69.50","68.30","263.00","18207.72","10","3494966750.72","69.49"
"13/10/2023","67.80","68.55","70.00","67.80","15563.00","1073868.05","28","3447689894.40","68.55"
"12/10/2023","69.83","69.60","69.83","69.00","223.00","15425.60","7","3500499148.80","69.60"
"11/10/2023","69.99","69.84","69.99","69.84","95.00","6646.90","6","3512569835.52","69.84"
"10/10/2023","69.75","68.75","69.75","68.75","200.00","13819.50","13","3457748800.00","68.75"
"09/10/2023","69.99","69.75","69.99","68.02","509.00","35159.20","21","3508043328.00","69.75"
"06/10/2023","70.00","68.50","70.79","68.00","6291.00","438986.20","45","3445175168.00","68.50"
"05/10/2023","67.98","70.40","70.90","66.67","6036.00","420868.91","30","3540734771.20","70.40"
"04/10/2023","67.80","67.85","67.89","67.00","7040.00","472253.87","45","3412483724.80","67.85"
"03/10/2023","69.98","67.10","69.98","67.10","17906.00","1215135.72","43","3374762828.80","67.10"
"02/10/2023","69.00","69.00","69.90","68.50","5242.00","359361.33","16","3470322432.00","69.00"
"27/09/2023","69.00","68.97","69.00","67.00","1624.00","109752.29","24","3468813596.16","68.97"
"26/09/2023","68.00","68.00","69.00","67.50","3313.00","224751.22","42","3420027904.00","68.00"
"25/09/2023","68.00","68.00","69.00","67.80","10849.00","738219.56","51","3420027904.00","68.00"
"22/09/2023","69.00","68.00","69.00","68.00","11028.00","753299.96","59","3420027904.00","68.00"
"21/09/2023","71.70","67.69","71.70","67.69","55081.00","3769580.61","198","3404436600.32","67.69"
"20/09/2023","73.50","72.00","73.99","71.70","5747.00","414793.38","48","3621206016.00","72.00"
"19/09/2023","72.31","73.99","73.99","72.30","1429.00","103348.32","11","3721292126.72","73.99"
"18/09/2023","74.89","72.50","74.89","72.30","3066.00","222675.58","23","3646353280.00","72.50"
"15/09/2023","73.26","73.00","73.26","73.00","1129.00","82433.35","17","3671500544.00","73.00"
"14/09/2023","74.98","74.98","74.98","74.98","1.00","74.98","1","3771083709.44","74.98"
"13/09/2023","73.00","73.00","74.90","73.00","45.00","3323.00","5","3671500544.00","73.00"
"12/09/2023","72.25","73.00","73.00","72.10","1473.00","106489.95","14","3671500544.00","73.00"
"11/09/2023","74.97","72.23","74.97","72.23","110887.00","8086865.10","13","3632773757.44","72.23"
"08/09/2023","73.00","73.00","73.00","73.00","250.00","18250.00","4","3671500544.00","73.00"
"07/09/2023","72.50","74.99","74.99","71.50","50156.00","3592402.42","34","3771586654.72","74.99"
"06/09/2023","75.00","72.50","77.00","72.50","50937.00","3698605.93","53","3646353280.00","72.50"
"05/09/2023","73.80","76.50","76.60","73.80","652.00","49485.98","19","3847531392.00","76.50"
"04/09/2023","77.28","73.00","77.28","73.00","52.00","3837.08","6","3671500544.00","73.00"
"01/09/2023","75.05","73.01","77.97","73.00","17504.00","1284935.47","45","3672003489.28","73.01"
"31/08/2023","77.50","75.00","78.00","74.56","34383.00","2606516.76","69","3772089600.00","75.00"
"30/08/2023","79.00","79.00","79.50","78.35","695.00","54958.70","13","3973267712.00","79.00"
"29/08/2023","79.67","79.67","79.67","79.67","8.00","637.36","1","4006965045.76","79.67"
"28/08/2023","78.36","79.89","79.89","78.35","32118.00","2521247.86","8","4018029841.92","79.89"
"25/08/2023","79.50","79.50","79.50","79.50","110.00","8745.00","3","3998414976.00","79.50"
"24/08/2023","79.00","79.00","79.00","78.35","11175.00","882824.35","15","3973267712.00","79.00"
"23/08/2023","78.35","79.00","79.00","78.35","2148.00","168598.10","11","3973267712.00","79.00"
"22/08/2023","79.69","79.50","79.69","79.00","18031.00","1424450.19","8","3998414976.00","79.50"
"18/08/2023","78.00","79.70","79.70","78.00","2720.00","215561.40","19","4008473881.60","79.70"
"17/08/2023","79.65","79.65","79.65","79.65","1.00","79.65","1","4005959155.20","79.65"
"16/08/2023","79.70","79.50","79.70","77.76","1003.00","78040.55","9","3998414976.00","79.50"
"15/08/2023","79.80","79.00","79.80","79.00","9.00","715.00","3","3973267712.00","79.00"
"11/08/2023","79.80","79.79","79.80","79.00","13071.00","1042566.18","13","4013000389.12","79.79"
"10/08/2023","79.79","79.01","79.79","79.01","48.00","3806.52","4","3973770657.28","79.01"
"09/08/2023","79.49","79.89","79.89","79.49","384.00","30651.56","6","4018029841.92","79.89"
"08/08/2023","80.00","79.49","80.00","78.75","1880.00","149971.69","9","3997912030.72","79.49"
"07/08/2023","80.90","80.00","80.90","79.01","1356.00","107500.40","8","4023562240.00","80.00"
"04/08/2023","79.28","80.35","81.36","78.51","12171.00","970764.31","56","4041165324.80","80.35"
"03/08/2023","79.00","79.00","79.00","79.00","30709.00","2426011.00","4","3973267712.00","79.00"
"02/08/2023","79.55","78.17","79.55","78.10","45375.00","3566151.61","22","3931523253.76","78.17"
"01/08/2023","79.55","79.00","79.55","77.50","10570.00","834795.44","31","3973267712.00","79.00"
"31/07/2023","79.99","79.55","80.00","79.50","178.00","14202.25","12","4000929702.40","79.55"
"28/07/2023","79.50","80.00","80.00","79.01","764.00","60537.02","13","4023562240.00","80.00"
"27/07/2023","80.00","80.00","80.00","79.51","2295.00","183575.50","15","4023562240.00","80.00"
"26/07/2023","80.00","80.00","81.40","79.05","5294.00","423392.23","30","4023562240.00","80.00"
"25/07/2023","81.00","80.20","81.90","80.20","1348.00","108639.63","12","4033621145.60","80.20"
"24/07/2023","82.99","81.95","82.99","80.51","55.00","4516.67","7","4121636569.60","81.95"
"21/07/2023","79.05","82.50","82.50","79.05","4035.00","325406.60","31","4149298560.00","82.50"
"20/07/2023","78.80","80.00","80.00","77.00","16390.00","1284503.26","41","4023562240.00","80.00"
"18/07/2023","78.00","78.80","78.80","77.00","2281.00","178782.00","10","3963208806.40","78.80"
"17/07/2023","79.00","78.00","79.00","78.00","256.00","20104.00","11","3922973184.00","78.00"
"14/07/2023","75.33","78.00","79.00","75.33","21411.00","1649806.45","30","3922973184.00","78.00"
"13/07/2023","76.85","76.00","76.85","76.00","1115.00","84745.95","7","3822384128.00","76.00"
"12/07/2023","76.91","75.33","76.91","75.33","64.00","4891.82","8","3788686794.24","75.33"
"11/07/2023","77.00","77.00","77.00","77.00","11.00","847.00","5","3872678656.00","77.00"
"10/07/2023","77.00","75.13","77.00","75.13","22.00","1690.26","3","3778627888.64","75.13"
"07/07/2023","76.20","75.10","77.00","75.10","27613.00","2076296.64","22","3777119052.80","75.10"
"06/07/2023","76.00","75.00","76.00","74.10","116493.00","8736913.96","25","3772089600.00","75.00"
"05/07/2023","76.45","75.00","76.45","75.00","558.00","41919.45","11","3772089600.00","75.00"
"04/07/2023","75.99","76.00","76.00","74.00","469.00","34797.78","13","3822384128.00","76.00"
"03/07/2023","0.00","75.40","0.00","0.00","0.00","0.00","0","3792207411.20","75.40"
"28/06/2023","73.31","75.40","75.40","73.30","5448.00","410012.91","17","3792207411.20","75.40"
"27/06/2023","75.28","75.50","75.50","75.14","5080.00","383517.82","26","3797236864.00","75.50"
"26/06/2023","76.53","75.40","76.53","73.40","181.00","13443.88","11","3792207411.20","75.40"
"23/06/2023","72.20","72.20","72.20","72.20","12653.00","913546.60","31","3631264921.60","72.20"
"22/06/2023","76.84","76.80","76.84","76.76","308.00","23646.39","8","3862619750.40","76.80"
"21/06/2023","77.10","76.80","77.10","74.10","8563.00","645101.01","41","3862619750.40","76.80"
"20/06/2023","75.00","74.99","75.00","74.95","3375.00","253100.80","26","3771586654.72","74.99"
"19/06/2023","75.80","76.00","79.00","75.00","9203.00","698731.38","40","3822384128.00","76.00"
"16/06/2023","79.80","77.50","79.80","75.55","5094.00","394195.51","52","3897825920.00","77.50"
"15/06/2023","76.90","78.00","78.00","76.00","2140.00","165061.95","23","3922973184.00","78.00"
"14/06/2023","75.60","76.00","77.00","75.60","1709.00","129893.75","15","3822384128.00","76.00"
"13/06/2023","76.95","76.95","76.95","75.80","423.00","32067.85","5","3870163929.60","76.95"
"12/06/2023","76.00","75.65","76.00","75.65","877.00","66471.00","9","3804781043.20","75.65"
"09/06/2023","75.60","75.60","75.60","75.60","10.00","756.00","2","3802266316.80","75.60"
"08/06/2023","76.00","76.00","76.00","75.51","2952.00","223347.10","7","3822384128.00","76.00"
"07/06/2023","76.00","76.00","76.00","76.00","2631.00","199956.00","11","3822384128.00","76.00"
"06/06/2023","75.20","76.00","78.00","75.20","13467.00","1023482.05","18","3822384128.00","76.00"
"05/06/2023","76.00","75.20","76.10","75.05","5546.00","420141.95","19","3782148505.60","75.20"
"02/06/2023","75.50","75.50","75.50","74.21","606.00","45727.20","15","3797236864.00","75.50"
"01/06/2023","75.50","75.49","76.00","75.49","1430.00","108489.46","15","3796733918.72","75.49"
"31/05/2023","77.50","75.25","79.25","75.25","34399.00","2645698.83","55","3784663232.00","75.25"
"30/05/2023","77.20","79.99","79.99","77.20","660.00","50957.58","10","4023059294.72","79.99"
"29/05/2023","76.90","80.00","80.52","76.90","3101.00","240265.26","26","4023562240.00","80.00"
"26/05/2023","75.00","76.70","76.70","75.00","3352.00","256877.70","10","3857590297.60","76.70"
"25/05/2023","76.90","76.00","76.90","76.00","195.00","14829.49","10","3822384128.00","76.00"
"24/05/2023","74.99","76.74","76.74","74.00","1639.00","124634.76","20","3859602078.72","76.74"
"23/05/2023","74.65","74.98","74.98","74.00","180.00","13460.94","5","3771083709.44","74.98"
"22/05/2023","74.20","74.94","74.94","74.00","269.00","20053.36","7","3769071928.32","74.94"
"19/05/2023","74.20","73.20","74.20","73.20","70.00","5157.00","3","3681559449.60","73.20"
"18/05/2023","74.20","74.10","74.20","74.10","163.00","12084.11","7","3726824524.80","74.10"
"17/05/2023","74.70","74.69","74.70","74.08","112.00","8328.70","6","3756498296.32","74.69"
"16/05/2023","74.90","74.90","74.90","74.90","1.00","74.90","1","3767060147.20","74.90"
"15/05/2023","73.05","73.11","73.11","73.05","63.00","4605.15","8","3677032942.08","73.11"
"12/05/2023","73.60","73.60","73.60","73.60","30.00","2208.00","1","3701677260.80","73.60"
"11/05/2023","73.00","73.60","74.90","73.00","678.00","49639.90","19","3701677260.80","73.60"
"10/05/2023","72.00","72.00","73.00","72.00","17.00","1239.00","5","3621206016.00","72.00"
"09/05/2023","73.30","72.00","73.30","72.00","460.00","33593.24","12","3621206016.00","72.00"
"08/05/2023","70.70","73.00","73.00","70.70","131495.00","9598831.65","17","3671500544.00","73.00"
"05/05/2023","70.53","70.60","73.44","70.53","211.00","15034.90","14","3550793676.80","70.60"
"04/05/2023","73.48","70.70","73.48","70.70","116.00","8245.68","5","3555823129.60","70.70"
"03/05/2023","73.70","73.50","73.70","73.49","25.00","1839.40","3","3696647808.00","73.50"
"02/05/2023","70.52","70.51","71.00","70.51","150.00","10586.95","11","3546267169.28","70.51"
"28/04/2023","72.25","70.10","73.75","70.10","2083.00","146219.90","20","3525646412.80","70.10"
"27/04/2023","73.00","72.50","73.79","72.50","150.00","10996.10","3","3646353280.00","72.50"
"26/04/2023","72.25","72.25","72.25","72.25","42.00","3034.50","3","3633779648.00","72.25"
"25/04/2023","71.25","72.25","72.25","71.25","22.00","1570.50","2","3633779648.00","72.25"
"21/04/2023","71.00","72.50","74.00","71.00","3829.00","277887.04","18","3646353280.00","72.50"
"20/04/2023","71.00","70.50","71.00","70.50","983.00","69451.50","5","3545764224.00","70.50"
"19/04/2023","72.00","72.01","72.28","72.00","499.00","35928.34","9","3621708961.28","72.01"
"18/04/2023","72.30","72.30","72.30","72.30","7.00","506.10","1","3636294374.40","72.30"
"17/04/2023","71.02","71.02","71.02","71.02","5.00","355.10","1","3571917378.56","71.02"
"14/04/2023","72.00","72.00","72.00","72.00","500.00","36000.00","1","3621206016.00","72.00"
"13/04/2023","73.25","72.00","73.25","71.01","82.00","5915.52","7","3621206016.00","72.00"
